relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.519071+00,,,,3,0,0,0
6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528707+00,,2020-11-05 16:27:54.793326+00,,3,0,3,0
3456,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,779,0,0,2020-11-05 16:28:07.506041+00,,2020-11-05 16:27:54.781556+00,,1,0,1,0
4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530753+00,,,,1,0,0,0
2605,pg_catalog,pg_cast,0,0,79912,18983,0,0,0,0,216,0,0,2020-11-05 16:28:07.510539+00,,2020-11-05 16:27:54.789078+00,,1,0,1,0
2619,pg_catalog,pg_statistic,1,494,932541,936540,92,2370,0,1654,494,107,2462,2020-11-05 16:28:07.504504+00,2020-11-05 20:40:07.627134+00,,,1,4,0,0
13294,pg_toast,pg_toast_13292,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.526417+00,,,,1,0,0,0
2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530942+00,,2020-11-05 16:27:54.793681+00,,1,0,1,0
4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.531239+00,,,,3,0,0,0
3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.544129+00,,2020-11-05 16:27:54.794009+00,,1,0,1,0
4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.518114+00,,,,3,0,0,0
3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530376+00,,,,1,0,0,0
4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.526653+00,,,,1,0,0,0
2612,pg_catalog,pg_language,0,0,507,507,0,0,0,0,4,0,0,2020-11-05 16:28:07.517699+00,,2020-11-05 16:27:54.790248+00,,1,0,1,0
3466,pg_catalog,pg_event_trigger,0,0,4,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.530271+00,,2020-11-05 16:27:54.793601+00,,1,0,1,0
13282,information_schema,sql_implementation_info,0,0,,,0,0,0,0,12,0,0,2020-11-05 16:28:07.52602+00,,2020-11-05 16:27:54.792867+00,,1,0,1,0
16407,pg_toast,pg_toast_16404,1,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:38:09.984475+00,,,,1,0,0,0
2620,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.531469+00,,2020-11-05 16:27:54.793628+00,,1,0,1,0
4185,pg_toast,pg_toast_1213,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.518425+00,,,,3,0,0,0
4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.522686+00,,,,3,0,0,0
16416,public,item,3,200000,375664488,375285124,100000,0,0,0,100000,0,0,2020-11-05 16:28:07.52481+00,,2020-11-05 16:27:54.854082+00,,1,0,1,0
6102,pg_catalog,pg_subscription_rel,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.544029+00,,2020-11-05 16:27:54.793207+00,,1,0,1,0
4169,pg_toast,pg_toast_3600,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.522283+00,,,,1,0,0,0
2618,pg_catalog,pg_rewrite,0,0,5242,5282,1,0,0,0,129,0,0,2020-11-05 16:28:07.505441+00,,2020-11-05 16:27:54.781676+00,,1,0,1,0
4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543569+00,,,,3,0,0,0
4149,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528734+00,,,,1,0,0,0
6100,pg_catalog,pg_subscription,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.53116+00,,2020-11-05 16:27:54.792967+00,,3,0,3,0
2608,pg_catalog,pg_depend,0,0,798,1574,126,0,10,0,7672,8,35,2020-11-05 16:28:07.500755+00,,2020-11-05 16:27:54.772118+00,,1,0,1,0
1260,pg_catalog,pg_authid,65,416,6499,6497,1,0,0,0,10,0,0,2020-11-05 16:28:07.522594+00,,2020-11-05 16:27:54.7903+00,,3,0,3,0
16413,public,history,1,60000000,,,97563832,0,0,0,99869552,0,5100622,2020-11-05 16:29:53.472142+00,,2020-11-05 16:28:07.37169+00,2020-11-05 20:34:02.192772+00,1,0,1,4
3596,pg_catalog,pg_seclabel,0,0,1,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.543247+00,,2020-11-05 16:27:54.793877+00,,1,0,1,0
2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.528004+00,,2020-11-05 16:27:54.793098+00,,1,0,1,0
13287,information_schema,sql_parts,0,0,,,0,0,0,0,9,0,0,2020-11-05 16:28:07.526415+00,,2020-11-05 16:27:54.793435+00,,1,0,1,0
1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,2020-11-05 16:28:07.518656+00,,2020-11-05 16:27:54.790537+00,,3,0,3,0
4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,2020-11-05 16:28:07.516454+00,,,,1,0,0,0
